	NR	Urban	Undervisning_om_skeive	Oblig_emne	UV	UBU	Andre_temaer	Arr	HP_Arr	Overall_tilfredshet	Overall_behov_KH	Individ_behov_KH	Interesse_KH	Skeiv	Svartid
0	12404182	N	N		2	2	2.0			5	5	4	3		16 sekunder
1	12444018	Y	N		-1	-1	0.0	-2.0		2	6	4	6		2 minutter 13 sekunder
2	12444025	N	N		-1	0	1.0	-1.0		3	6	2	6		1 minutt 14 sekunder
3	12444053	Y	N		0	0	-2.0	-2.0		2	6	5	6		2 minutter 54 sekunder
4	12444075	Y	N		-1	-1	2.0	-2.0		5	5	2	7		1 minutt 6 sekunder
5	12444076	Y	N		-1	-2	1.0	-2.0		4	7	4	6		1 minutt 56 sekunder
6	12444080	Y	N		-1	-1	1.0	-1.0		5	5	5	5		3 minutter 23 sekunder
7	12444090	Y	N		-1	-1	2.0	-1.0		5	5	2	7		2 minutter 49 sekunder
8	12444097	Y	N		0	0	0.0	-1.0		5	5	3	5		1 minutt 20 sekunder
9	12444121	Y	N		0	-1	2.0	-2.0		5	6	5	5		2 minutter 2 sekunder
10	12444125	N	IBU		0	0	0.0	-2.0		4	3	2	4		2 minutter 26 sekunder
11	12444140	N	N		-2	-2	1.0	-2.0		6	5	5	6		2 minutter 26 sekunder
12	12444151	N	N		1	1	2.0	0.0		4	5	4	5		10 minutter 43 sekunder
13	12444176	Y	N		0	0	2.0	0.0		6	3	3	5		1 minutt 34 sekunder
14	12444183	N	N		1	1	1.0	-2.0		4	4	2	7		1 minutt 26 sekunder
15	12444351	Y	N		1	1	2.0	-1.0		6	7	1	7		17 minutter 3 sekunder
16	12444374	Y	N		1	1	1.0	0.0		6	6	5	6		1 minutt 52 sekunder
17	12444395	N	N		1	2	1.0	-2.0		5	6	6	7		1 minutt 19 sekunder
18	12444448	N	IBU		-1	-1	0.0	-1.0		6	6	1	7		5 minutter 29 sekunder
19	12444497	N	N		-1	0	0.0	-1.0		4	5	5	5		3 minutter 37 sekunder
20	12444554	N	IBU		-2	-2	-2.0	-2.0		4	4	4	4		1 minutt 13 sekunder
21	12444565	Y	IBU		-1	-1	0.0	-2.0		4	5	5	5		3 minutter 24 sekunder
22	12444690	Y	Y	Y	-1	0	0.0	-1.0		6	2	3	1		3 minutter 12 sekunder
23	12444744	N	N		-1	-1	-1.0	-2.0		4	3	3	3		1 minutt 35 sekunder
24	12444835	N	N		-1	-1	1.0	-2.0		4	4	4	4		2 minutter 28 sekunder
25	12444850	N	IBU		-1	-1	-2.0	-2.0		3	7	5	5		1 minutt 22 sekunder
26	12445049	N	N		0	-1	0.0	-2.0	N	3	5	5	6		1 minutt 2 sekunder
27	12445397	Y	Y	Y	-1	-1	1.0	-2.0	N	3	7	5	7		2 minutter 30 sekunder
28	12445447	Y	N		0	-1	2.0	0.0	NG	6	4	5	5		3 minutter 32 sekunder
29	12445464	N	N		0	0	1.0	1.0	Y	5	7	7	7		4 minutter 7 sekunder
30	12445512	Y	N		0	0	2.0	-1.0	NG	5	7	4	5		1 minutt 34 sekunder
31	12445594	Y	N		-1	1	1.0	-2.0	NG	4	5	5	7		2 minutter 16 sekunder
32	12445631	Y	N		-1	0	-1.0	-2.0	N	7	2	2	2		3 minutter 10 sekunder
33	12446046	Y	N		-1	-2	0.0	-2.0	N	4	3	5	2		4 minutter 9 sekunder
34	12446193	N	N		0	-1	1.0	-2.0	N	5	4	4	6		2 minutter 7 sekunder
35	12446281	N	N		-1	-1	-2.0	-2.0	NG	4	2	2	3		13 minutter 52 sekunder
36	12446708	N	N		-1	-1	1.0	-2.0	NG	6	7	3	7		19 minutter 36 sekunder
37	12447042	N	N		-1	-2	-2.0	-2.0	N	4	5	6	6		1 minutt 45 sekunder
38	12447255	N	N		-1	-1	-2.0	-2.0	NG	4	5	4	5		1 minutt 49 sekunder
39	12447962	Y	N		-1	-1	2.0	-1.0	N	4	2	6	7		1 minutt 34 sekunder
40	12448113	N	N		-1	-1	1.0	-2.0	N	3	6	6	7		2 minutter 14 sekunder
41	12448188	N	N		-2	-2	-2.0	-2.0	N	2	5	5	6		5 minutter 42 sekunder
42	12448459	N	IBU		0	-1	0.0	0.0	N	3	5	5	5		1 minutt 42 sekunder
43	12448615	Y	N		0	0	-2.0	-1.0	N	3	7	6	7		4 minutter 50 sekunder
44	12448638	Y	N		-1	0	2.0	-2.0	NG	5	6	4	6		1 minutt 45 sekunder
45	12448776	Y	N		0	0	1.0	-2.0	N	4	6	3	6		1 minutt 27 sekunder
46	12448932	Y	IBU		1	0	1.0	-2.0	NG	4	5	5	4		2 minutter 14 sekunder
47	12449076	N	N		-2	-2	-2.0	-2.0	N	4	4	4	3		1 minutt 22 sekunder
48	12449250	Y	N		-1	-1	-1.0	-1.0	NG	2	7	5	7		2 minutter 56 sekunder
49	12450253	N	N		-1	-1	0.0	-2.0	N	5	4	3	3		2 minutter 39 sekunder
50	12451136	N	Y	N	-1	-1	0.0	-2.0	N	2	6	6	6		4 minutter 40 sekunder
51	12451779	Y	N		1	1	0.0	1.0	NG	5	2	2	3		4 minutter 53 sekunder
52	12451833	N	IBU		0	0	1.0	-2.0	NG	5	6	4	7		3 minutter 5 sekunder
53	12452429	N	N		-2	-2	-2.0	-2.0	Y	4	1	1	1		1 minutt 36 sekunder
54	12452475	N	N		-2	-2	-2.0	-2.0	N	2	4	5	4		2 minutter 9 sekunder
55	12452546	N	IBU		-1	-1	2.0	-2.0	N	5	7	7	7		2 minutter 3 sekunder
56	12452599	Y	N		-1	-1	-1.0	-1.0	NG	4	3	2	2		3 minutter 54 sekunder
57	12452607	N	N		-1	-1	1.0	-2.0	N	2	6	6	7		2 minutter 20 sekunder
58	12452665	Y	N		-2	-2	-2.0	-2.0	NG	4	6	5	5		2 minutter 16 sekunder
59	12452780	Y	N		-1	-1	2.0	-1.0	N	7	6	1	4		3 minutter 1 sekund
60	12452987	N	N		0	-2	-2.0	-2.0	Y	4	4	4	4		1 minutt 54 sekunder
61	12453021	N	N		0	0	1.0	-2.0	N	5	4	3	5		2 minutter 36 sekunder
62	12453148	N	Y	Y	0	-1	0.0	-1.0	N	5	4	3	4		2 minutter 24 sekunder
63	12453192	Y	IBU		-1	-2	-2.0	0.0	N	6	3	3	3		1 minutt 44 sekunder
64	12453621	N	N		-2	-2		-2.0	NG	3	7	3	5		1 minutt 25 sekunder
65	12453928	Y	N		-1	-1	-2.0	-2.0	N	7	2	1	4		3 minutter 13 sekunder
66	12454016	Y	N		-1	-1	0.0	-1.0	NG	6	5	5	5		4 minutter 15 sekunder
67	12454047	Y	N		-2	0	0.0	-2.0	N	3	3	3	3		3 minutter 9 sekunder
68	12454868	N	N		-1	-1	0.0	-1.0	NG	3	4	5	5		2 minutter 40 sekunder
69	12455391	N	IBU		-2	-2	-2.0	-2.0	N	3	2	4	2		1 minutt 57 sekunder
70	12455769	Y	N		-1	-2	-1.0	-2.0	Y	4	4	4	3		2 minutter 48 sekunder
71	12455795	N	Y	N	-2	-2	-2.0	-2.0	N	5	7	1	7		2 minutter 21 sekunder
72	12457304	N	N		-1	-2	-2.0	-2.0	N	2	7	7	7		2 minutter 36 sekunder
73	12457928	Y	N		0	0	2.0	-1.0	N	4	4	4	4		1 minutt 37 sekunder
74	12458547	Y	N		0	0	1.0	-1.0	NG	5	6	6	6		1 minutt 51 sekunder
75	12461180	Y	N		0	-2	-2.0	-2.0	N	2	7	5	6		1 minutt 4 sekunder
76	12463479	Y	N		-1	-1	-2.0	-2.0	NG	4	5	5	5		15 minutter 49 sekunder
77	12464615	N	N		-1	1	1.0	-2.0	N	4	5	3	5		2 minutter 27 sekunder
78	12469421	Y	N		-2	1	1.0	-2.0	NG	4	5	4	5		6 minutter 41 sekunder
79	12472306	N	N		-2	-2	-2.0	-2.0	N	1	7	6	7		2 minutter 35 sekunder
80	12478789	Y	N		-1	0	2.0	-2.0	NG	6	6	6	7		4 minutter 2 sekunder
81	12483644	N	N		0	0	1.0	-2.0	N	3	2	1	1		1 minutt 55 sekunder
82	12488157	N	N		2	2		-2.0	N	5	5	4	4		31 minutter 16 sekunder
83	12489175	Y	N		-1	-1	-2.0	-2.0	N	4	5	5	5		1 minutt 57 sekunder
