	NR	Malgruppe	Alder	Region	Kjonnsidentitet	KID_egne_ord	Cis	Spesifiser_Cis	Pronomener	Intersex	Seksuell_orientering_1	Seksuell_orientering_2	Seksuell_orientering_3	Seksuell_orientering_4	Seksuell_orientering_5	Seksuell_orientering_6	Seksuell_orientering_7	Seksuell_orientering_8	SO_egne_ord	Annen_RO	RO_1	RO_2	RO_3	RO_4	RO_5	RO_6	RO_7	RO_8	RO_egne_ord	Synlig_Skeiv_1	Synlig_Skeiv_2	Synlig_Skeiv_3	Synlig_Skeiv_4	Synlig_Skeiv_5	Skeiv_ID	Marginalisert_ident	Spesifiser_marg_ident	Sist_besok	Hyppighet	Urban	Deichman	Valgt_andre_bib	UV	UBU	Andre_temaer	Arr	utlan	bla_i	datamaskin	still_spm	utrygt	m_med_respekt	feilkjonnet	antatt_orientering	Interaksjon_bibansatt_1	Interaksjon_bibansatt_2	Interaksjon_bibansatt_3	Interaksjon_bibansatt_4	Interaksjon_brukere_1	Interaksjon_brukere_2	Interaksjon_brukere_3	Interaksjon_brukere_4	Utvalg_KID	Utvalg_Orientering	Utvalg_Intersex	Utvalg_lykkelig	Utvalg_fag	Aldri_tenkt	Utrygt_stille_spm	Rep_matters_B	Bib_pleier_ha	Alltid_velkommen	Trygge_rom_gen_B	Ingen_rolle	Ingenting_tilby	Bibs_ansvar	Minoritetsstress_ansatte	Minoritetsstress_brukere	Lhbtiq_vennlig	Rom_for_forbedring	Andre_brukere	Helt_meg_selv	Ikke_velkommen	Ingen_rolle_IB	Trygge_rom_pers_IB	Trygge_rom_gen_IB	Godt_utvalg	Skeiv_medieforbruk_pos	Skeiv_medieforbruk_neg	Rep_matters_IB	Mer_skj_item	Mer_skj_skaper	Mer_skj_mangfold	Mer_faglitt	Mer_BU	Bedre_gjenfinning	Info	Kompetanseheving	Apne_ansatte	Tredje_KI	Selvbestemt_KID	Endre_KID	Toaletter	Pronomen_bruk	Nulltoleranse	Skilting	Behov_kompetanseheving	Overall_tilfredshet	Svartid
0	12404354		30-44	O	K	Ciskvinne	Y		Hun/henne	N			Bi		Q				Bifil, skeiv	N										Y						N		3-11 måneder siden	1-2 ganger		Y	N	-2.0	-2.0	0.0		-1.0	0.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	2.0	-2.0		-1.0	-1.0	-1.0		2.0	-1.0	2.0	2.0	1.0	-1.0	1.0	-1.0	-2.0	1.0	2.0	2.0	2.0									2	2	2	2	2	1	1	2	1	2	1	2	2	2	2	2	7.0	4.0	16 minutter 19 sekunder
1	12406971		30-44	O	IB	Trans og/eller kjønnsskeiv (genderqueer)	N		Han	N			Bi		Q				Bifil eller bi-pan	N										Y	S					U		Mindre enn 3 måneder siden	20-39 ganger		Y	N	-1.0	-1.0	0.0		0.0	-1.0	-2.0	-2.0	-2.0	1.0	U	U			U			Y_Neg	U		-2.0	-1.0		-1.0	-1.0	-1.0	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	-1.0	-1.0	0.0	2.0	1.0	0.0									1	1	2	2	2	2	1	1	1	2	1	2	1	1	2	1	6.0	2.0	17 minutter 4 sekunder
2	12436232		30-44	T	K		Y		hun/henne	N			Bi		Q					N										Y					2.0	Y		3-11 måneder siden	6-9 ganger	Y	N	N	-1.0	-1.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-2.0	2.0	N	N			U				U		2.0	-1.0		-1.0	-1.0	1.0	-1.0	2.0		1.0	1.0	-2.0	-2.0	2.0	1.0	-2.0	2.0	1.0	1.0	2.0									2	2	1	1	1	1	-1	1	1	1	1	1	2	-1	2	1	5.0	6.0	15 minutter 39 sekunder
3	12436442		30-44	N	IB	Queer	N		hun/hen	N			Bi		Q				Queer/skeiv	N												I			2.0	U	Jeg er en sterkt overvektig person, vet ikke om det telles, og nevromangfoldig.	Mindre enn 3 måneder siden	40 ganger eller mer	N	N	Y	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-2.0	0.0	0.0	0.0	N	Y		Y_Neg					U		-2.0	-1.0		-1.0	-1.0	-2.0	1.0	2.0	-1.0	-1.0	-1.0	-2.0	-1.0	2.0	1.0	2.0	1.0	2.0	0.0	-2.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	3.0	14 minutter 31 sekunder
4	12436493		16-29	O	K		Y		hun/henne	N			Bi		Q					N												I			0.0	Y		Mindre enn 3 måneder siden	6-9 ganger		Y	N	-2.0	-2.0	0.0	-1.0	1.0	1.0	1.0	-1.0	-2.0	1.0	N	N			U				U			-1.0		-1.0	-1.0	-2.0	-1.0	1.0	1.0	1.0	1.0	0.0	-2.0	1.0	-2.0	1.0	1.0	0.0	1.0	-1.0									2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	6.0	5.0	13 minutter 57 sekunder
5	12436839		30-44	O	M	Mann	Y		Ingen	N				LG					Jeg pleier ikke beskrive egen seksuell orientering. Homo funker greit.	N												I			1.0	N		1-3 år siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-1.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	0.0	-1.0		0.0	0.0	1.0	-2.0	-1.0	0.0	2.0	2.0	2.0	-2.0	-1.0	-2.0	-2.0	2.0	-2.0	2.0	2.0									-1	-1	-2	1	0	1	2	1	1	-2	-2	-2	-2	-2	0	-1	3.0	6.0	13 minutter 21 sekunder
6	12436881		45-60	O	K		Y		hun/henne	N			Bi		Q				bdsmer	Y					Q							I			2.0	N		3-11 måneder siden	6-9 ganger		Y	N	-1.0	-2.0	-2.0	-1.0	0.0	0.0	-2.0	-2.0	-1.0	1.0	N	N			U				U		2.0	-2.0	-2.0	-2.0	-2.0	2.0		1.0	-2.0	2.0	2.0	2.0		2.0	1.0	-1.0	0.0	2.0	1.0	1.0									2	2	2	2	2	2	2	2	0	0	2	2	0	0	2	2	7.0	5.0	11 minutter 2 sekunder
7	12436928		16-29	O	K	Kvinne	Y		Hun/henne	N			Bi						Bifil	Y					Q					Y					0.0	Y		Mindre enn 3 måneder siden	40 ganger eller mer		Y	N	1.0	0.0	1.0	0.0	1.0	0.0	-2.0	0.0	-2.0	1.0	N	N				N				N	0.0	1.0	0.0	0.0	0.0	-2.0	-2.0	1.0	0.0	-2.0	2.0	2.0	-1.0	1.0	-2.0	-2.0	2.0	0.0	-2.0	2.0									1	2	1	1	1	0	1	1	1	2	2	2	2	2	2	-1	4.0	4.0	15 minutter 28 sekunder
8	12437034		16-29	V	IB		N		They/them på engelsk, den/dem/demmers på norsk	N	Ace									Y	Aro				Q				Lesbisk demi-aro, men like. det er hovedsaklig cis menn jeg har NULL atraskjon for			I			2.0	Y		3-11 måneder siden	3-5 ganger	Y	N	N	-1.0	-2.0	-2.0	0.0	-2.0	-1.0	-2.0	-2.0	-2.0	1.0	Y	U			U				U		-1.0	-2.0		-1.0	-2.0	-1.0	0.0	2.0	0.0	1.0	1.0	0.0	-1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0									2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	6.0	3.0	46 minutter 59 sekunder
9	12437071		16-29	O	M	Gutt/Mann	Y		han	N			Bi						Bi	N										Y					2.0	N		Mindre enn 3 måneder siden	20-39 ganger		Y	N	2.0	1.0	1.0	2.0	1.0	0.0	-1.0	-1.0	-2.0	1.0	N	U	Y_Pos				Y_Pos				-2.0	1.0		1.0	2.0	-2.0	-2.0	1.0	1.0	2.0	2.0	2.0	-2.0	2.0	-1.0	-1.0	2.0	0.0	2.0	1.0									1	1	2	2	2	0	1	1	1	2	2	2	2	0	2	2	5.0	6.0	17 minutter 48 sekunder
10	12437109		30-44	V	M	Transmann	N		Han, evt. hen	U		Het				Fluid			Heterofleksibel	SU							SU						N		0.0	N		3-11 måneder siden	3-5 ganger	Y	N	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-1.0	1.0	U	U				N				N	-2.0	-2.0		-2.0	-2.0	2.0	1.0	2.0		-1.0	-1.0	-2.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	-1.0									2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	-1	7.0	3.0	18 minutter 37 sekunder
11	12437178		16-29	O	M	transmann/mann	N		han	N				LG	Q				bifil	N										Y	S				0.0	N		3-11 måneder siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-1.0	0.0	-2.0	-2.0	-2.0	2.0	U	U			U	N			U		-1.0	0.0		-1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	-2.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0									1	1	1	1	0	0	1	0	1	1	0	2	2	-2	2	-1	5.0	4.0	44 minutter 17 sekunder
12	12437184		30-44	T	IB	Flytende fleksibel ikke binær	N		Hen	U	Ace		Bi		Q				Bifil	Y	Aro		Bi		Q							I			1.0	Y		3-11 måneder siden	1-2 ganger	Y	N	N	0.0	0.0	-2.0	-1.0	-1.0	-1.0	-2.0	-2.0	-2.0	2.0	Y	U			U				U		-2.0	1.0		1.0	1.0	2.0		-1.0		2.0	1.0	2.0	-2.0	1.0	-1.0	-2.0	2.0	1.0	2.0	2.0									1	1	2	1	2	2	2	1	2	1	1	2	2	1	2	1	6.0	6.0	28 minutter 10 sekunder
13	12437203		30-44	O	M	Mann	N		Han	N				LG						N											S				1.0	N		6 år siden eller mer																																													-2.0	2.0		0.0	-1.0	-2.0	2.0	-1.0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1			4 minutter 6 sekunder
14	12437363		45-60	O	M	Mann	Y		Han	N				LG					Gay	N														U	0.0	N		Mindre enn 3 måneder siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	1.0	N	N				N				N	0.0	0.0	0.0	0.0	0.0	2.0			0.0			2.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0									1	0	0	1	1	1	1	0	1	0	-2	-2	1	1	2	-2	5.0	7.0	30 minutter 7 sekunder
15	12437389		30-44	O	K		Y		Hun	N			Bi						Bifil/pan/whatever	N												I			0.0	Y		Mindre enn 3 måneder siden	10-19 ganger		Y	N	-1.0	-2.0	0.0	-1.0	0.0	-1.0	-2.0	-2.0	-2.0	2.0	N	N				N			U		2.0	-1.0		-1.0	0.0	1.0		1.0	1.0	2.0	2.0	1.0	-1.0	1.0	-2.0	-1.0	1.0	0.0	2.0	1.0									1	1	1	1	1	2	-2	1	-2	2	2	2	2	0	2	-2	6.0	6.0	38 minutter
16	12437390		45-60	N	K		Y		Hun/henne	N				LG					Lesbisk	N										Y					2.0	Y		Mindre enn 3 måneder siden	10-19 ganger	N	N	Y	2.0	0.0	0.0	0.0	1.0	1.0	-2.0	0.0	-2.0	2.0	Y	Y	Y_Pos				Y_Pos				2.0	2.0	2.0	2.0	2.0	-2.0	-2.0	2.0	2.0	2.0	2.0	-2.0	-2.0	2.0	-2.0	-2.0	2.0	-1.0	2.0	2.0									1	1	2	1	2	1	1	1	2	1	1	1	2	1	2	0	5.0	6.0	20 minutter 19 sekunder
